ok,category,item_name,display_id,ticket_id,ticket_url,group_assigned,group_id,group_name,error
no,CWT support,Sensitive PCI and PII Request,1539,,,no,,,"POST /api/v2/service_catalog/items/1539/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""please_describe_what_this_request_is_for_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""}]}"
yes,CWT support,Service Account Maintenance - Update Owner or Retire Account,1392,3265892,https://amexgbt.freshservice.com/a/tickets/3265892,yes,17000392763,CWT Identity & Access Management,
yes,CWT support,Server In-Place Upgrade Request,1540,3265891,https://amexgbt.freshservice.com/a/tickets/3265891,no,,,
yes,CWT support,Setup Secure File Transfer Ad Hoc,1403,3265894,https://amexgbt.freshservice.com/a/tickets/3265894,yes,17000392780,CWT EDE,
yes,CWT support,ServiceNow Reporting Assistance,1537,3265895,https://amexgbt.freshservice.com/a/tickets/3265895,no,,,
yes,CWT support,SharePoint Site and Maintenance Request ,1395,3265897,https://amexgbt.freshservice.com/a/tickets/3265897,yes,17000392771,CWT SharePoint,
yes,CWT support,Setup Secure Transfer Server Access,1390,3265896,https://amexgbt.freshservice.com/a/tickets/3265896,yes,17000392780,CWT EDE,
yes,CWT support,TX Support Italy,1384,3265982,https://amexgbt.freshservice.com/a/tickets/3265982,yes,17000392759,CWT TX PRODUCT EXPERTS ITALY,
no,CWT support,Vulnerability Management Request,1533,,,no,,,"POST /api/v2/service_catalog/items/1533/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""if_other_please_specify_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""},{""field"":""if_other_please_specifiy_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""},{""field"":""technical_contact_name_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""}]}"
yes,CWT support,WFO Call Recording Request,1480,3265984,https://amexgbt.freshservice.com/a/tickets/3265984,yes,17000393242,CWT Verint QM Global Level 1,
yes,CWT support,Workstation Administrator Access for Developers,1481,3265983,https://amexgbt.freshservice.com/a/tickets/3265983,no,,,
yes,CWT support,Y: Drive Directory Request,1528,3266009,https://amexgbt.freshservice.com/a/tickets/3266009,no,,,
yes,CWT TX Setup & Maintenance,CWT - Application Setup & Maintenance,1378,3265898,https://amexgbt.freshservice.com/a/tickets/3265898,no,,,
yes,CWT TX Setup & Maintenance,CWT - Client Setup & Maintenance,1375,3265899,https://amexgbt.freshservice.com/a/tickets/3265899,no,,,
yes,CWT TX Setup & Maintenance,CWT - Spotnana User Access,1376,3265985,https://amexgbt.freshservice.com/a/tickets/3265985,no,,,
yes,CWT TX Setup & Maintenance,CWT - Finance Setup & Maintenance for Wings,1372,3265900,https://amexgbt.freshservice.com/a/tickets/3265900,yes,17000393245,CWT WINGS BO SUPPORT,
no,CWT TX Setup & Maintenance,CWT - Travel Counselor New Hire Application Access Request,1373,,,no,,,"POST /api/v2/service_catalog/items/1373/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""add_select_the_names_of_all_new_counselors_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""},{""field"":""actual_site_location_of_counselor_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""},{""field"":""list_any_red_apps_required_325251"",""message"":""Unexpected/invalid field in request"",""code"
yes,CWT TX Setup & Maintenance,CWT - User Setup & Maintenance,1379,3265901,https://amexgbt.freshservice.com/a/tickets/3265901,no,,,
yes,CWT TX Setup & Maintenance,CWT-Counselor Platform Template Requests,1381,3265986,https://amexgbt.freshservice.com/a/tickets/3265986,no,,,
yes,CWT TX Setup & Maintenance,CWT AVAYA Call Trace Request,1383,3265902,https://amexgbt.freshservice.com/a/tickets/3265902,yes,17000393510,CWT Contact Center Products,
yes,CWT TX Setup & Maintenance,CWT-Counselor Platform User Setup & Maintenance,1377,3265987,https://amexgbt.freshservice.com/a/tickets/3265987,no,,,
yes,CWT TX Setup & Maintenance,CWT-Counselor Platform Workbasket Setup & Maintenance,1380,3265988,https://amexgbt.freshservice.com/a/tickets/3265988,no,,,
